az_lons,co_lons,nm_lons,ut_lons,az_lats,co_lats,nm_lats,ut_lats
-109.04692,-102.05174,-108.15227,-109.05119,34.0844,40.0006,31.7835,39.226
-109.047,-102.05139,-108.17096,-109.05158,33.7133,39.8709,31.7835,39.1165
-109.04691,-102.0506,-108.1986,-109.05305,33.3477,39.6764,31.7835,38.9578
-109.0474,-102.04955,-108.20839,-109.05655,33.0716,39.5388,31.7836,38.8139
-109.04762,-102.04907,-108.20844,-109.06015,32.7038,39.4085,31.7446,38.6092
-109.04764,-102.04875,-108.20841,-109.06017,32.4074,39.3357,31.7296,38.4011
-109.04811,-102.04802,-108.2084,-109.04984,32.1771,39.243,31.7232,38.215
-109.04905,-102.04541,-108.20838,-109.0498,31.8706,38.8427,31.7194,38.2147
-109.04911,-102.04514,-108.20837,-109.04232,31.6369,38.6638,31.7173,38.1027
-109.05004,-102.04524,-108.2083,-109.04304,31.3325,38.5958,31.6887,37.9746
-109.0587,-102.04494,-108.20814,-109.04159,31.3325,38.5293,31.6256,37.7899
-109.25062,-102.04501,-108.20819,-109.04191,31.3338,38.4721,31.5893,37.5667
-109.30069,-102.04479,-108.20835,-109.04582,31.3339,38.4199,31.5608,37.3536
-109.33682,-102.04452,-108.20869,-109.04583,31.33,38.3063,31.5258,37.2044
-109.38186,-102.04447,-108.20855,-109.04519,31.3339,38.265,31.501,37.0959
-109.45105,-102.04431,-108.20852,-109.04531,31.334,38.1755,31.4998,37.017
-109.5287,-102.04456,-108.20849,-109.04522,31.3339,38.0573,31.4788,36.999
-109.62562,-102.04402,-108.20839,-109.04538,31.334,37.943,31.4291,36.999
-109.79302,-102.04286,-108.20848,-109.26993,31.3339,37.8094,31.3765,36.9992
-109.97582,-102.04166,-108.20854,-109.43568,31.3334,37.6874,31.3561,36.9991
-110.20503,-102.04179,-108.20857,-109.83491,31.3336,37.4934,31.3334,36.9983
-110.49327,-102.04178,-108.36757,-110.13851,31.3329,37.4559,31.3334,36.9984
-110.56918,-102.04192,-108.38904,-110.272,31.3329,37.3385,31.3334,36.9982
-110.65415,-102.04196,-108.44606,-110.54945,31.333,37.2219,31.3334,37.0038
-110.77828,-102.04199,-108.47535,-110.73783,31.3336,37.1067,31.3334,37.0032
-110.87564,-102.0421,-108.53011,-111.03957,31.3332,36.9935,31.3333,37.0024
-110.93778,-102.04209,-108.61731,-111.2523,31.3328,36.993,31.3332,37.001
-110.94286,-102.04538,-108.65709,-111.39598,31.3328,36.993,31.3332,37.0014
-110.97553,-102.05418,-108.70766,-111.58602,31.3325,36.993,31.3331,37.0016
-111.12565,-102.07425,-108.71907,-111.99142,31.3489,36.9931,31.333,37.0009
-111.24082,-102.09059,-108.72702,-112.32985,31.3858,36.9932,31.3329,37.001
-111.29191,-102.17511,-108.73503,-112.48455,31.4023,36.9935,31.3329,37.0009
-111.32558,-102.19751,-108.73904,-112.75086,31.413,36.9936,31.3328,37.0004
-111.3574,-102.24848,-108.7506,-112.96895,31.4233,36.9942,31.3327,37.0001
-111.38483,-102.26493,-108.75906,-112.99281,31.4319,36.9943,31.3326,37.0001
-111.44337,-102.29933,-108.82206,-113.02079,31.4506,36.9942,31.3322,37.0002
-111.47861,-102.34378,-108.86103,-113.17698,31.4619,36.9944,31.3323,36.9999
-111.49725,-102.35537,-108.88692,-113.32097,31.4678,36.9945,31.3323,36.9999
-111.53479,-102.40232,-109.00061,-113.4727,31.4799,36.9947,31.3321,36.9999
-111.56975,-102.49444,-109.05004,-113.62465,31.4909,36.9949,31.3322,36.9999
-111.62412,-102.52468,-109.05004,-113.86852,31.5082,36.9948,31.3325,36.9999
-111.66,-102.57091,-109.04911,-113.94557,31.5194,36.9951,31.6369,36.9999
-111.73365,-102.62547,-109.04905,-114.05052,31.543,36.995,31.8706,37.0004
-111.79498,-102.68337,-109.04811,-114.0506,31.5622,36.9952,32.1771,37.0004
-111.9182,-102.7059,-109.04764,-114.05187,31.6012,36.9955,32.4074,37.1343
-111.97172,-102.77324,-109.04762,-114.05264,31.6182,36.9988,32.7038,37.4722
-111.99115,-102.81507,-109.0474,-114.05198,31.6242,36.9997,33.0716,37.7073
-112.02937,-102.86545,-109.04691,-114.04939,31.6362,36.9995,33.3477,37.7787
-112.09379,-102.89315,-109.047,-114.05013,31.6564,36.9994,33.7133,37.9549
-112.13972,-102.9279,-109.04692,-114.04997,31.6709,36.999,34.0844,38.2049
-112.15906,-102.97961,-109.04633,-114.04992,31.677,36.9985,34.4455,38.5504
-112.21295,-102.98698,-109.04603,-114.04916,31.6937,36.9985,34.7126,38.7516
-112.32605,-103.00214,-109.04598,-114.04833,31.7289,37.0001,34.9138,38.9054
-112.39932,-103.0022,-109.04644,-114.04885,31.7516,37.0001,35.3069,39.0877
-112.43603,-103.01356,-109.04662,-114.04841,31.763,37.0002,35.4585,39.2385
-112.52208,-103.26061,-109.04636,-114.04779,31.7895,36.9995,35.6509,39.3629
-112.57141,-103.53892,-109.04621,-114.0473,31.8047,36.9989,35.8104,39.4571
-112.63294,-103.92627,-109.04606,-114.04757,31.8235,36.9966,35.9308,39.6101
-112.67695,-104.17265,-109.04578,-114.04727,31.837,36.9951,36.0312,39.7581
-112.72356,-104.49245,-109.04601,-114.04658,31.8513,36.9936,36.1872,39.9999
-112.75567,-104.76311,-109.04575,-114.04644,31.8613,36.9935,36.2915,40.0989
-112.8055,-105.15658,-109.04579,-114.04619,31.8766,36.9952,36.4163,40.303
-112.83423,-105.50752,-109.04547,-114.04558,31.8851,36.9958,36.5451,40.4958
-112.8711,-105.6576,-109.04544,,31.8967,36.9957,36.7038,
-112.90863,-105.93761,-109.04531,,31.9078,36.9955,36.8531,
-113.20884,-106.15386,-109.04522,,31.9991,36.9946,36.9989,
-113.2279,-106.4654,-109.04522,,32.0054,36.9937,36.999,
-113.30314,-106.61906,-109.04518,,32.029,36.993,36.999,
-113.61086,-106.73137,-108.8978,,32.1256,36.9926,36.9988,
-113.78489,-106.89142,-108.7496,,32.1799,37.0001,36.9988,
-113.90756,-107.00562,-108.52833,,32.2179,37,36.9992,
-113.97121,-107.25094,-108.20233,,32.2376,37,36.9992,
-114.11135,-107.4121,-107.8669,,32.2808,37,37,
-114.20719,-107.49519,-107.49519,,32.3104,37,37,
-114.25559,-107.8669,-107.4121,,32.3253,37,37,
-114.28755,-108.20233,-107.25094,,32.335,36.9992,37,
-114.38472,-108.52833,-107.00562,,32.3646,36.9992,37,
-114.61337,-108.7496,-106.89142,,32.434,36.9988,37.0001,
-114.77804,-108.8978,-106.73137,,32.4837,36.9988,36.9926,
-114.81394,-109.04518,-106.61906,,32.4952,36.999,36.993,
-114.81518,-109.04522,-106.4654,,32.506,36.999,36.9937,
-114.80524,-109.04531,-106.15386,,32.5099,37.017,36.9946,
-114.81037,-109.04519,-105.93761,,32.5183,37.0959,36.9955,
-114.81335,-109.04583,-105.6576,,32.5241,37.2044,36.9957,
-114.80551,-109.04582,-105.50752,,32.5327,37.3536,36.9958,
-114.80529,-109.04191,-105.15658,,32.5435,37.5667,36.9952,
-114.79282,-109.04159,-104.76311,,32.5539,37.7899,36.9935,
-114.79206,-109.04304,-104.49245,,32.5677,37.9746,36.9936,
-114.79555,-109.04232,-104.17265,,32.5662,38.1027,36.9951,
-114.81362,-109.0498,-103.92627,,32.5613,38.2147,36.9966,
-114.80894,,-103.53892,,32.5709,,36.9989,
-114.80404,,-103.26061,,32.5813,,36.9995,
-114.80093,,-103.01356,,32.5955,,37.0002,
-114.80804,,-103.0022,,32.6031,,37.0001,
-114.80891,,-103.0022,,32.6129,,37,
-114.80192,,-103.00232,,32.6238,,36.9686,
-114.79518,,-103.00232,,32.6232,,36.9503,
-114.7819,,-103.00228,,32.6247,,36.9158,
-114.77309,,-103.00227,,32.637,,36.914,
-114.76427,,-103.00224,,32.65,,36.9024,
-114.74805,,-103.00223,,32.6648,,36.8975,
-114.74638,,-103.00218,,32.6698,,36.8699,
-114.74505,,-103.00206,,32.6741,,36.8173,
-114.74456,,-103.00213,,32.6785,,36.7689,
-114.74203,,-103.00215,,32.6822,,36.7429,
-114.74,,-103.0021,,32.6851,,36.7193,
-114.73874,,-103.00214,,32.6873,,36.7013,
-114.73062,,-103.00218,,32.6986,,36.6852,
-114.72924,,-103.00237,,32.7054,,36.6765,
-114.72377,,-103.00218,,32.7119,,36.6532,
-114.71994,,-103.0023,,32.7182,,36.6278,
-114.71919,,-103.00226,,32.7194,,36.6026,
-114.69096,,-103.00223,,32.7394,,36.5919,
-114.63501,,-103.00226,,32.7313,,36.5692,
-114.58576,,-103.0023,,32.7348,,36.5638,
-114.46563,,-103.00233,,32.874,,36.5487,
-114.48131,,-103.00233,,32.972,,36.5296,
-114.62973,,-103.00228,,33.0325,,36.5147,
-114.68157,,-103.00228,,33.2337,,36.506,
-114.72123,,-103.00245,,33.3969,,36.5004,
-114.61185,,-103.00243,,33.4713,,36.5004,
-114.5402,,-103.02394,,33.587,,36.5004,
-114.49649,,-103.04133,,33.6969,,35.7651,
-114.52801,,-103.04249,,33.8444,,35.212,
-114.51318,,-103.04239,,33.9128,,35.1362,
-114.49813,,-103.04283,,33.9637,,34.8888,
-114.4355,,-103.04312,,34.0425,,34.6725,
-114.35765,,-103.04338,,34.1286,,34.5356,
-114.26017,,-103.04362,,34.1721,,34.4099,
-114.14737,,-103.04374,,34.3108,,34.2718,
-114.29195,,-103.04376,,34.4152,,34.0398,
-114.38169,,-103.04993,,34.479,,33.7175,
-114.44166,,-103.05727,,34.6428,,33.3505,
-114.48236,,-103.06464,,34.7145,,33.0001,
-114.56953,,-103.06478,,34.7918,,32.5951,
-114.63305,,-103.53275,,34.8699,,32.0003,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
